adIdText;linkref;priceTagText;floatRText;listingH3Text;meuble;lat;lon
7445135;https://www.mubawab.ma/fr/a/7445135/louez-cet-appartement-%C3%A0-ma%C3%A2rif-superficie-98-m%C2%B2-meubl%C3%A9;11000 DH;2 chambres, 98 m²;Maârif à   Casablanca;True;33.58602331802259;-7.636442184448242
6762318;https://www.mubawab.ma/fr/a/6762318/appartement-moderne-avec-une-vue-panoramique;16000 DH;3 chambres, 110 m²;De La Plage à   Tanger;True;35.77570647674164;-5.796489715576172
7444822;https://www.mubawab.ma/fr/a/7444822/bel-appartement-en-location-%C3%A0-m-diq-2-pi%C3%A8ces-meubl%C3%A9-;400 DH;2 chambres, 67 m²; à   M'Diq;True;35.684489825701824;-5.328283309936523
7444756;https://www.mubawab.ma/fr/a/7444756/appartement-en-location-%C3%A0-ismalia-3-pi%C3%A8ces-confortables-porte-s%C3%A9curis%C3%A9e;2000 DH;2 chambres, 75 m²;Ismalia à   Kénitra;False;34.261898398047876;-6.578621864318848
7444535;https://www.mubawab.ma/fr/a/7444535/appartement-meublee-a-louer-casablanca-bernoussi;    Prix à consulter    ;2 chambres, 64 m²;Bernoussi à   Casablanca;True;33.610187537328144;-7.506923675537109
7444522;https://www.mubawab.ma/fr/a/7444522/location-d-appartement-haut-agdal-lyc%C3%A9e-descarted;6000 DH;3 chambres, 72 m²;Agdal à   Rabat;False;34.00037546099115;-6.850061416625977
7444323;https://www.mubawab.ma/fr/a/7444323/superbe-appartement-en-location-a-el-jadida;4600 DH;2 chambres, 73 m²;Hay Essalam à   El Jadida;True;33.22447209921732;-8.500327822985128
7444233;https://www.mubawab.ma/fr/a/7444233/appartement-en-location-par-mois-%C3%A0-casablanca;7000 DH;3 chambres, 144 m²;Tantonville à   Casablanca;False;34.68488901947028;-9.0966796875
7444134;https://www.mubawab.ma/fr/a/7444134/appartement-vide-%C3%A0-louer-quartier-hay-houda;4200 DH;2 chambres, 100 m²;Hay Houda à   Agadir;False;30.40959743218008;-9.569778442382812
7412860;https://www.mubawab.ma/fr/a/7412860/bel-appartement-en-location-%C3%A0-route-immouzer-surface-de-90-m%C2%B2-bien-meubl%C3%A9;4000 DH;2 chambres, 90 m²;Route Immouzer à   Fès;True;34.03075387345181;-5.0035858154296875
7444049;https://www.mubawab.ma/fr/a/7444049/appartement-%C3%A0-louer-sal%C3%A9-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D9%83%D8%B1%D8%A7%D8%A1-%D9%81%D9%8A-%D8%B3%D9%84%D8%A7;2100 DH;2 chambres, 80 m²;Hay Rahma à   Salé;False;34.051236750229286;-6.797790040145628
7443982;https://www.mubawab.ma/fr/a/7443982/appartement-r%C3%A9sidence-marina-blanca-haut-standing;15000 DH;2 chambres, 84 m²; à   Dar Bouazza;True;33.52869565296193;-7.818334008917589
7443775;https://www.mubawab.ma/fr/a/7443775/location-appartement-haut-standing-%C3%A0-prestigia;    Prix à consulter    ;3 chambres, 170 m²;Riyad à   Rabat;False;33.958311531468844;-6.870403289794922
7443753;https://www.mubawab.ma/fr/a/7443753/tr%C3%A8s-bel-appartement-en-location-en-hassan-centre-ville-1-chambre-ascenseur-et-terrasse;    Prix à consulter    ;1 chambre, 51 m²;Hassan - Centre Ville à   Rabat;False;34.02150632745047;-6.830148696899414
7443711;https://www.mubawab.ma/fr/a/7443711/appartement-%C3%A0-louer-longue-dur%C3%A9e;    Prix à consulter    ;2 chambres, 100 m²;Alsace Lorraine à   Casablanca;False;33.58368160268893;-7.617108821868925
7443683;https://www.mubawab.ma/fr/a/7443683/tr%C3%A8s-bel-appartement-en-location-%C3%A0-hay-mohammadi-2-chambres-meubl%C3%A9-;    Prix à consulter    ;2 chambres, 53 m²;Hay Mohammadi à   Agadir;True;30.43351928293651;-9.555529332719743
7443669;https://www.mubawab.ma/fr/a/7443669/superbe-appartement-%C3%A0-louer-%C3%A0-belv%C3%A9d%C3%A8re-3-chambres-bien-meubl%C3%A9;7300 DH;3 chambres, 115 m²;Belvédère à   Casablanca;True;33.5895625839363;-7.59678840637207
7443537;https://www.mubawab.ma/fr/a/7443537/tr%C3%A8s-bel-appartement-%C3%A9quip%C3%A9;5000 DH;2 chambres, 60 m²;Oulfa à   Casablanca;True;33.547117579470296;-7.675495147705078
7443534;https://www.mubawab.ma/fr/a/7443534/residence-daris-couple-mari%C3%A9-ou-c%C3%A9libataire;4200 DH;4 chambres, 95 m²;Aïn Sebaâ à   Casablanca;False;33.611688641154686;-7.538852691650391
7443515;https://www.mubawab.ma/fr/a/7443515/apparemment-a-louer-pour-usage-professionnel;4000 DH;2 chambres, 57 m²;Al Kawtar à   Bouznika;False;32.34023266790936;-7.437744140625
7443459;https://www.mubawab.ma/fr/a/7443459/grand-appartement-al-najma-pr%C3%A8s-de-la-plage;4999 DH;3 chambres, 120 m²;Centre à   Tanger;False;35.77803342865297;-5.801897048950195
7443430;https://www.mubawab.ma/fr/a/7443430/appartement-meubl%C3%A9-ou-pas-%C3%A0-3mins-de-la-gare;10000 DH;3 chambres, 207 m²;Maamora à   Kénitra;True;34.261898398047876;-6.578621864318848
7443363;https://www.mubawab.ma/fr/a/7443363/appartenenti-a-louer;3500 DH;2 chambres, 86 m²;Wifak à   Temara;False;33.92712382336637;-6.903190612792969
7443342;https://www.mubawab.ma/fr/a/7443342/location-d-un-appartement-en-centre-surface-de-94-m%C2%B2-bien-meubl%C3%A9;8000 DH;2 chambres, 94 m²;Centre à   Tanger;True;35.77824812995999;-5.804815292358398
7443306;https://www.mubawab.ma/fr/a/7443306/top-apartment-meuble-a-louer;6000 DH;2 chambres, 105 m²;El Qods à   Oujda;True;34.66054900672284;-1.8429080941074574
7443072;https://www.mubawab.ma/fr/a/7443072/appartement-meubl%C3%A9;11000 DH;2 chambres, 100 m²;Agdal à   Rabat;True;33.98161168590123;-6.8646525498479605
7443058;https://www.mubawab.ma/fr/a/7443058/appartement-meuble;6500 DH;1 chambre, 50 m²;L'Ocean à   Rabat;True;34.0208660754302;-6.837058067321777
7434701;https://www.mubawab.ma/fr/a/7434701/joli-studio-meubl%C3%A9;7500 DH;1 chambre, 45 m²;Gauthier à   Casablanca;True;33.59424563181959;-7.610692977905273
7438402;https://www.mubawab.ma/fr/a/7438402/bel-appartement-racine;10000 DH;3 chambres, 120 m²;Racine à   Casablanca;False;33.582734173084866;-7.675838470458984
7290111;https://www.mubawab.ma/fr/a/7290111/location-appartement-100-m%C2%B2-quartier-wilaya-tanger-ref-la605;6500 DH;2 chambres, 100 m²;Administratif à   Tanger;True;35.77525384929336;-5.863094329833984
7390119;https://www.mubawab.ma/fr/a/7390119/location-appartement-90-m%C2%B2-moulay-ismail-tanger-ref-la620;6000 DH;3 chambres, 90 m²;Administratif à   Tanger;True;35.77525384929336;-5.863094329833984
7259306;https://www.mubawab.ma/fr/a/7259306/location-appartement-180-m%C2%B2-iberia-tanger-la599;12000 DH;3 chambres, 180 m²;Iberie à   Tanger;False;35.78141637842086;-5.820736885070801
7390118;https://www.mubawab.ma/fr/a/7390118/location-appartement-109-m%C2%B2-quartier-administratif-tanger-ref-lz621;8000 DH;3 chambres, 109 m²;Administratif à   Tanger;True;35.775671659010165;-5.808591842651367
7395218;https://www.mubawab.ma/fr/a/7395218/location-appart-138-m%C2%B2-nejma-tanger-ref-la623;8500 DH;3 chambres, 138 m²;Administratif à   Tanger;False;35.77481861982628;-5.800652503967285
7104754;https://www.mubawab.ma/fr/a/7104754/location-appartement-90-m%C2%B2-quartier-nejma-tanger-ref-la579;7000 DH;1 chambre, 90 m²;De La Plage à   Tanger;True;35.77570647674164;-5.796489715576172
7426119;https://www.mubawab.ma/fr/a/7426119/location-appartement-90-m%C2%B2-iberia-tanger-lz629;10000 DH;2 chambres, 90 m²;Iberie à   Tanger;True;35.78141637842086;-5.820736885070801
7101388;https://www.mubawab.ma/fr/a/7101388/location-appartement-140-m%C2%B2-playa-tanger-tanger-ref-la578;5000 DH;2 chambres, 140 m²;Tanger City Center à   Tanger;True;35.76513279309228;-5.777177810668945
6883291;https://www.mubawab.ma/fr/a/6883291/location-appartement-129-m%C2%B2-perle-blue-tanger-ref-la371;15000 DH;3 chambres, 129 m²;De La Plage à   Tanger;True;35.77525384929336;-5.863094329833984
7380731;https://www.mubawab.ma/fr/a/7380731/location-appartement-90-m%C2%B2-nejma-tanger-ref-la61;8000 DH;2 chambres, 90 m²;Centre à   Tanger;False;35.77824812995999;-5.804815292358398
7442999;https://www.mubawab.ma/fr/a/7442999/location-vide-d-un-bel-appartement-%C3%A0-ferme-bretonn;7500 DH;2 chambres, 80 m²;Ferme Bretonne (Hay Arraha) à   Casablanca;False;33.547117579470296;-7.675495147705078
7426120;https://www.mubawab.ma/fr/a/7426120/location-appartement-102-m%C2%B2-centre-ville-tanger;6000 DH;2 chambres, 102 m²;Centre à   Tanger;True;35.77824812995999;-5.804815292358398
7442860;https://www.mubawab.ma/fr/a/7442860/location-longue-dur%C3%A9e;6009 DH;2 chambres, 110 m²;Guéliz à   Marrakech;True;31.635077472598304;-8.010320663452148
